id,bairro,titulo,preco,tags,descricao_longa
1,Itaim Bibi,Imóvel 1 em Pinheiros,2011169,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
2,Jardins,Imóvel 2 em Jardins,1700031,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
3,Itaim Bibi,Imóvel 3 em Jardins,2026999,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
4,Vila Mariana,Imóvel 4 em Jardins,1119409,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
5,Pinheiros,Imóvel 5 em Jardins,343643,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
6,Pinheiros,Imóvel 6 em Pinheiros,1938200,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
7,Moema,Imóvel 7 em Moema,1983482,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
8,Moema,Imóvel 8 em Vila Mariana,1368514,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
9,Itaim Bibi,Imóvel 9 em Moema,976545,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
10,Vila Mariana,Imóvel 10 em Moema,1186493,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
11,Itaim Bibi,Imóvel 11 em Moema,2085420,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
12,Moema,Imóvel 12 em Moema,737530,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
13,Moema,Imóvel 13 em Pinheiros,2194446,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
14,Pinheiros,Imóvel 14 em Pinheiros,814114,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
15,Itaim Bibi,Imóvel 15 em Moema,2282214,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
16,Itaim Bibi,Imóvel 16 em Vila Mariana,486599,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
17,Vila Mariana,Imóvel 17 em Pinheiros,2488764,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
18,Itaim Bibi,Imóvel 18 em Pinheiros,2711607,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
19,Moema,Imóvel 19 em Jardins,336306,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
20,Vila Mariana,Imóvel 20 em Jardins,1105941,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
21,Vila Mariana,Imóvel 21 em Moema,887704,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
22,Jardins,Imóvel 22 em Pinheiros,1478668,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
23,Pinheiros,Imóvel 23 em Vila Mariana,2061536,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
24,Vila Mariana,Imóvel 24 em Moema,1332261,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
25,Vila Mariana,Imóvel 25 em Jardins,636018,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
26,Pinheiros,Imóvel 26 em Itaim Bibi,851471,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
27,Itaim Bibi,Imóvel 27 em Jardins,2212441,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
28,Itaim Bibi,Imóvel 28 em Jardins,2943815,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
29,Itaim Bibi,Imóvel 29 em Itaim Bibi,745251,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
30,Jardins,Imóvel 30 em Moema,2933744,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
31,Vila Mariana,Imóvel 31 em Jardins,1390577,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
32,Moema,Imóvel 32 em Moema,2504568,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
33,Vila Mariana,Imóvel 33 em Jardins,1708528,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
34,Moema,Imóvel 34 em Moema,735619,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
35,Pinheiros,Imóvel 35 em Pinheiros,546271,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
36,Moema,Imóvel 36 em Vila Mariana,735192,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
37,Pinheiros,Imóvel 37 em Pinheiros,1527133,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
38,Vila Mariana,Imóvel 38 em Vila Mariana,2705483,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
39,Itaim Bibi,Imóvel 39 em Jardins,926062,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
40,Itaim Bibi,Imóvel 40 em Itaim Bibi,2018444,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
41,Jardins,Imóvel 41 em Itaim Bibi,2317368,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
42,Itaim Bibi,Imóvel 42 em Pinheiros,2998451,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
43,Pinheiros,Imóvel 43 em Vila Mariana,2069946,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
44,Moema,Imóvel 44 em Vila Mariana,1193643,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
45,Jardins,Imóvel 45 em Itaim Bibi,1894978,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
46,Jardins,Imóvel 46 em Pinheiros,2887058,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
47,Vila Mariana,Imóvel 47 em Moema,2720377,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
48,Itaim Bibi,Imóvel 48 em Vila Mariana,1743547,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
49,Jardins,Imóvel 49 em Jardins,1176307,"varanda,piscina,academia",Apartamento bem localizado com excelente infraestrutura.
50,Pinheiros,Imóvel 50 em Moema,1405669,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
51,Jardins,Imóvel 51 em Jardins,1004641,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
52,Pinheiros,Imóvel 52 em Moema,955980,"familia,seguranca",Apartamento bem localizado com excelente infraestrutura.
53,Itaim Bibi,Imóvel 53 em Jardins,1769628,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
54,Pinheiros,Imóvel 54 em Pinheiros,375620,"metro,praticidade",Apartamento bem localizado com excelente infraestrutura.
55,Jardins,Imóvel 55 em Moema,690401,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
56,Jardins,Imóvel 56 em Vila Mariana,2642537,"luxo,vista,cobertura",Apartamento bem localizado com excelente infraestrutura.
